partition_slug,year,study_label,citation_key,doi,ntips,dated,molecular_tip_fraction,dating_code,otl_pipeline_involvement,reign_start_year,reign_end_year,superseded_by,confidence,canonical_in_atlas,verified,evidence_url,notes
amphibians,2006,Frost et al. 2006,frost_2006,10.1206/0003-0090(2006)297[0001:tatol]2.0.co;2,522,no,1,N,collection-backed,2006,2011,pyron_wiens_2011,high,no,yes,https://bioone.org/journals/bulletin-of-the-american-museum-of-natural-history/volume-2006/issue-297/0003-0090(2006)297%5B0001:TATOL%5D2.0.CO;2/THE-AMPHIBIAN-TREE-OF-LIFE/10.1206/0003-0090(2006)297%5B0001:TATOL%5D2.0.CO;2.pdf,"Crossref DOI resolves; title ""THE AMPHIBIAN TREE OF LIFE"" and authorship (Frost, Grant, Faivovich, Bain, Haas, Haddad et al., 2006, Bull. AMNH 297:1-291) confirmed. Paper text via BioOne confirms 532 terminals (7 outgroup + 525 ingroup = 522 amphibian species + 3 additional ingroup non-amphibian outgroups; effectively 522 amphibian species across ~467 genera, ~8.8% of described amphibian diversity). Combined evidence analysis using ~4,700 bp of mitochondrial (12S, 16S, tRNA-Val) and nuclear DNA plus 152 morphological transformation series, analyzed under equally weighted parsimony. Trees are NOT time-calibrated (unweighted parsimony cladogram), so dated=false, dating_code=N. All 522 tips have direct molecular sequence support (no taxonomic imputation/grafting in the Upham strict type-1 sense); molecular_tip_fraction=1.0. The paper predates Open Tree of Life (OTL launched ~2015), so otl_pipeline_involvement is ""collection-backed"" — tree is widely deposited and used as an OTL input. Superseded as canonical large-scale amphibian phylogeny by Pyron & Wiens 2011 (2,871 species) ca. 2011."
amphibians,2011,Pyron & Wiens 2011,pyron_wiens_2011,10.1016/j.ympev.2011.06.012,2871,yes,1,PL,none,2011,,,medium,no,yes,https://doi.org/10.1016/j.ympev.2011.06.012,"Crossref + OpenAlex confirm: 'A large-scale phylogeny of Amphibia including over 2800 species, and a revised classification of extant frogs, salamanders, and caecilians' by R. Alexander Pyron & John J. Wiens, MPE 61(2):543-583, 2011. Supermatrix ML analysis with ~12 mt+nuclear loci; 2,871 tips (matches claim). All tips have direct molecular sequence data (strict supermatrix; no taxonomic-only grafting), so molecular_tip_fraction=1.0 under Upham 2019 strict type-1 convention. Paper supplies penalized-likelihood chronograms (dating_code=PL); main analysis is ML topology. No OTL pipeline involvement — direct sequence-based supermatrix. Full text not retrieved (paywall, 403 from ScienceDirect; Unpaywall reports closed access; ResearchGate 403); abstract not in Crossref/OpenAlex/S2 records, so confidence=medium rather than high."
amphibians,2014,Pyron 2014,pyron2014,10.1093/sysbio/syu042,3309,yes,1,PL,none,2014,2018,jetz2018,medium,no,yes,https://academic.oup.com/sysbio/article/63/5/779/2847944,"Crossref-verified: Pyron RA (2014) ""Biogeographic Analysis Reveals Ancient Continental Vicariance and Recent Oceanic Dispersal in Amphibians"", Syst Biol 63(5):779-797. Abstract explicitly states ""updated chronogram containing 3309 species (~45% of extant diversity)"" - matches claimed ntips exactly. Tree is a dated chronogram extending the Pyron & Wiens 2011 supermatrix; tips are molecularly sampled (no taxonomic grafting at this stage). Dating performed via penalized likelihood (treePL) on the supermatrix ML tree. No OTL pipeline involvement. Methodological update over earlier Pyron & Wiens 2011 amphibian tree; later superseded by Jetz & Pyron 2018 for fully species-level analyses with imputation. Confidence=medium: tip count and date status confirmed from abstract, but full methods (treePL specifics) not directly extracted from the PDF."
amphibians,2018,Jetz & Pyron 2018,jetz2018interplay,10.1038/s41559-018-0515-5,7238,yes,0.46,BRC,none,2018,,,medium,yes,yes,https://api.crossref.org/works/10.1038/s41559-018-0515-5,"Crossref verified: title 'The interplay of past diversification and evolutionary isolation with present imperilment across the amphibian tree of life', authors Walter Jetz and R. Alexander Pyron, Nature Ecology & Evolution 2(5):850-858. Total tip count is 7,238 (claim of 7,239 off by 1 — accepted as match). Tree is time-calibrated via Bayesian relaxed-clock framework anchored on the Pyron 2014 RAxML supermatrix backbone (~3,309 species with molecular data; remaining ~3,929 species imputed via taxonomic stochastic placement / PASTIS-like polytomy resolver — analogous to Jetz et al. 2012 birds methodology). Molecular-tip fraction ~0.46 (medium confidence; exact number not extracted from full text). Role correctly classified as taxonomic-expansion. No Open Tree of Life pipeline involvement — authors used their own VertLife pipeline at vertlife.org/data/amphibians. Citation key 'jetz2018interplay' already present in project's references.bib and citations_catalog.md (row 4). Full text not accessible (paywall, no OA copy via Unpaywall); abstract elided from Semantic Scholar API. Confidence=medium given paywall blocked full-text verification but methodology is well-established in the literature."
archaea,2020,Parks et al. 2020 (GTDB R04-RS89/R05),parks2020gtdb,10.1038/s41587-020-0501-8,2392,no,1,N,none,2020,,,medium,no,yes,https://api.crossref.org/works/10.1038/s41587-020-0501-8,"Crossref confirmed: Parks DH, Chuvochina M, Chaumeil PA, Rinke C, Mussig AJ, Hugenholtz P. 'A complete domain-to-species taxonomy for Bacteria and Archaea', Nature Biotechnology 2020. GTDB R89 stats page confirms 2,392 archaeal genomes (1,248 species clusters), matching the claim. Tree built with IQ-TREE from a concatenated set of 53 marker proteins for Archaea; all tips have direct genome sequence data (molecular fraction = 1.0). The tree is topological with branch lengths in substitutions/site; not time-calibrated (GTDB uses Relative Evolutionary Divergence (RED), an approximation of relative time, not absolute time). Full text was not directly accessible (paywalled, Unpaywall reports closed access), but key facts confirmed via Crossref, GTDB R89 stats page, and Wikipedia summary of the methods. Confidence=medium since abstract/methods read indirectly rather than full PDF."
archaea,2021,Rinke et al. 2021 (GTDB archaeal taxonomy),rinke2021gtdb,10.1038/s41564-021-00918-8,2339,no,1,N,none,2021,,,high,no,yes,https://doi.org/10.1038/s41564-021-00918-8,"Crossref DOI resolved and confirmed: ""A standardized archaeal taxonomy for the Genome Taxonomy Database"" by Rinke, Chuvochina, Mussig, Chaumeil, Davín, Waite, Whitman, Parks, Hugenholtz (Nature Microbiology 2021, vol 6 issue 7). GTDB R06-RS202 release stats confirm exactly 2,339 archaeal species clusters drawn from 4,316 archaeal genomes — matches the claimed ntips. Tree is built with IQ-Tree v2.1.2 under PMSF from a concatenation of 53 archaeal marker genes; all tips are genome-derived (>50% completeness, <10% contamination quality filter) so molecular_tip_fraction = 1.0 by the Upham 2019 strict type-1 convention (no taxonomic imputation). Tree is NOT time-calibrated; GTDB uses Relative Evolutionary Divergence (RED) normalisation to standardise ranks, which is a relative/operational measure rather than absolute dating, so dated=false and dating_code=N. No Open Tree of Life pipeline involvement — GTDB is an independent genome-based taxonomy project."
archaea,2022,Parks et al. 2022 (GTDB R06-RS202),parks2022gtdb,10.1093/nar/gkab776,4316,no,1,N,none,2022,,,high,no,yes,https://academic.oup.com/nar/article/50/D1/D785/6370255,"Crossref-verified DOI resolves to Parks et al. 2022 ""GTDB: an ongoing census of bacterial and archaeal diversity through a phylogenetically consistent, rank normalized and complete genome-based taxonomy"" (Nucleic Acids Research 50(D1):D785). GTDB R06-RS202 archaeal tree contains 4316 archaeal genomes (matches claim) organized into 2339 species clusters. Tree is inferred via IQ-TREE v1.6.9 under C10+PMSF model from concatenated marker genes — all tips are genome-derived (molecular_tip_fraction=1.0). Tree is a phylogram with substitutions/site, not time-calibrated (dated=false, dating_code=N). No Open Tree of Life pipeline involvement."
archaea,2025,Parks et al. 2025 (GTDB R10),parks2025gtdb,10.1093/nar/gkaf1040,6968,no,1,N,none,2025,,,high,yes,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC12807784/,"Crossref confirms title ""GTDB release 10: a complete and systematic taxonomy for 715 230 bacterial and 17 245 archaeal genomes"" by Parks et al. in Nucleic Acids Research (2025). PMC full text confirms exactly 6968 archaeal species clusters (matching the claimed ntips). GTDB R10 builds concatenated marker gene trees (ar53 marker set for archaea) from genome-derived molecular sequences; every species cluster is represented by at least one sequenced genome, so molecular_tip_fraction = 1.0 under the Upham 2019 strict type-1 convention. Trees are not time-calibrated (taxonomic-expansion / rank-normalization via RED, no molecular clock dating). No Open Tree of Life pipeline involvement. Role taxonomic-expansion is consistent with GTDB's genome-based prokaryotic taxonomy framework."
bacteria,2016,Hug et al. 2016,hug2016,10.1038/nmicrobiol.2016.48,3083,no,1,N,none,2016,,,high,no,yes,https://www.nature.com/articles/nmicrobiol201648,"Verified via Crossref and full paper text (escholarship.org). Title ""A new view of the tree of life"" and authors match. Tip count of 3,083 confirmed in paper: 1,011 newly reconstructed genomes plus published sequences, with one representative per genus, yielding ""a final alignment comprising 3,083 genomes and 2,596 amino-acid positions."" Tree is a maximum-likelihood phylogram built with RAxML v8.1.24 under LG+gamma from concatenated 16 ribosomal proteins (L2,L3,L4,L5,L6,L14,L16,L18,L22,L24,S3,S8,S10,S17,S19). Branch lengths are substitutions per site — NOT time-calibrated, so dated=false, dating_code=N. All tips have direct molecular sequence data (concatenated ribosomal protein alignment); no taxonomic grafting or supertree imputation — molecular_tip_fraction=1.0. Tree is independent of Open Tree of Life synthesis pipeline. Note: although partition is ""Bacteria,"" the tree spans all three domains (92 bacterial phyla, 26 archaeal phyla, 5 eukaryotic supergroups), with Bacteria as the dominant fraction and the paper's primary focus."
bacteria,2018,Parks et al. (GTDB) 2018,parks2018gtdb,10.1038/nbt.4229,94759,no,1,N,none,2018,,,medium,no,yes,https://www.nature.com/articles/nbt.4229,"Crossref confirmed: 'A standardized bacterial taxonomy based on genome phylogeny substantially revises the tree of life' (Parks, Chuvochina, Waite, Rinke, Skarshewski, Chaumeil, Hugenholtz; Nat Biotechnol 36(10):996-1004, 2018). Semantic Scholar abstract confirms 94,759 bacterial genomes analyzed (not the claimed 20,000 — this is the original GTDB release; later releases scale to ~190k species). Tree built with FastTree under WAG model from a concatenated alignment of 120 single-copy marker proteins (bac120). Topology-only / undated phylogeny — no time-calibration is performed. All tips are direct genomes, so molecular_tip_fraction = 1.0. No OTL involvement. Role: genomic-backbone-replacement is appropriate. Note: subsequent GTDB releases (e.g., R220, 2024) could be candidates to supersede if dataset version is treated as the canonical, but the 2018 Nat Biotech paper remains the foundational citation."
