group,tree_name,study,year,journal,doi,tips,dated,crown_ma,format_original,data_source,download_url,species_count_source,described_species,coverage_pct,methods_brief,notes
mammals,upham2019_mammal_MCC_5911sp.tre,"Upham NS, Esselstyn JA, Jetz W",2019,PLOS Biology,10.1371/journal.pbio.3000494,5912,TRUE,320,Nexus,GitHub,https://github.com/n8upham/MamPhy_v1,Mammal Diversity Database,6736,87.8,"31-gene supermatrix, Bayesian (MrBayes), backbone-and-patch",MCC tree node-dated (NDexp); also FBD-dated and 100 posterior available
birds_jetz,AllBirdsHackett1.tre,"Jetz W, Thomas GH, Joy JB, Hartmann K, Mooers AO",2012,Nature,10.1038/nature11631,9993,TRUE,102,Newick,VertLife,https://data.vertlife.org/birdtree/,IUCN Red List 2025,11195,89.3,"GenBank supermatrix + Hackett backbone, Bayesian (BEAST)",1000 posterior trees; Hackett backbone; Ericson also available
birds_mctavish,MCC_clements2021.tre,"McTavish EJ et al.",2025,PNAS,10.1073/pnas.2409658122,10824,TRUE,130,Newick,GitHub,https://github.com/McTavishLab/AvesData,IUCN Red List 2025,11195,96.7,"Open Tree synthesis from 262 studies (1990-2024), Clements taxonomy",Updated annually; 14% branches differ from Jetz 2012
amphibians,jetz_pyron_2018_consensus_7238sp.tre,"Jetz W, Pyron RA",2018,Nature Ecology & Evolution,10.1038/s41559-018-0515-5,7239,TRUE,343,Newick,Dryad,https://datadryad.org/stash/dataset/doi:10.5061/dryad.cc3n6j5,AmphibiaWeb 2025,8863,81.7,"15-gene supermatrix, Bayesian, taxonomic imputation",Covers frogs + salamanders + caecilians; 10 posterior sets available
frogs,portik2023_frog_timetree_5242sp.tre,"Portik DM, Streicher JW, Wiens JJ",2023,Molecular Phylogenetics and Evolution,10.1016/j.ympev.2023.107907,5326,TRUE,351,Newick,GitHub,https://github.com/nhm-herpetology/frog-phylogeny,AmphibiaWeb 2025,7486,71.1,"Supermatrix up to 307 loci, RAxML ML, treePL dating",Frogs only; 100 bootstrap trees available
fish,actinopt_12k_treePL.tre,"Rabosky DL et al.",2018,Nature,10.1038/s41586-018-0273-1,31516,TRUE,368,Newick,FishTreeOfLife,https://fishtreeoflife.org/downloads/,Eschmeyer's Catalog,36000,87.5,"27-gene supermatrix, ML (RAxML), treePL dating, 130 fossil calibrations; coverage summary uses the corresponding 31,516-tip FishTreeOfLife chronogram with taxonomic imputation","The dated 11,638-tip backbone is used for crown-age and LTT analyses; FishTreeOfLife also provides 100 full chronograms with taxonomic imputation"
neotropical_fish,tagliacollo2024_neotropical_fish_timetree_sp.tre,"Tagliacollo VA et al.",2024,Frontiers in Bioinformatics,10.3389/fbinf.2024.1433995,3167,TRUE,,Newick,Journal supplement,https://doi.org/10.3389/fbinf.2024.1433995,Eschmeyer's Catalog,,,"51-marker supermatrix, 5984 total taxa, treePL dating",Also 5984-taxon ML tree and genus-level dated tree
squamates,tonini2016_squamate_consensus_9755sp.tre,"Tonini JFR, Beard KH, Ferreira RB, Jetz W, Pyron RA",2016,Biological Conservation,10.1016/j.biocon.2016.03.039,9755,TRUE,243,Newick,Dryad,https://datadryad.org/stash/dataset/doi:10.5061/dryad.db005,Reptile Database 2025,11744,83.1,"Built on Pyron 2013 12-gene supermatrix, taxonomic imputation",10 posterior sets (1000 trees each ~456MB) available
sharks,1.cal.tree.nex,"Stein RW, Mull CG, Kuhn TS, Aschliman NC et al.",2018,Nature Ecology & Evolution,10.1038/s41559-017-0448-4,1192,TRUE,349,Nexus,VertLife,https://vertlife.org/phylosubsets/,Chondrichthyan Tree of Life,1282,93.0,"610-sp molecular phylogeny, extended to 1192 via taxonomic constraints, treePL",10000 posterior trees; 1 and 10 fossil calibration variants; web app download
turtles,thomson2021_turtle_mcc_294sp.tre,"Thomson RC, Spinks PQ, Shaffer HB",2021,PNAS,10.1073/pnas.2012215118,593,TRUE,,Nexus,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.jh9w0vt8w,Reptile Database 2025,360,100,"13 loci for 294 species (80% all turtles), Bayesian (BEAST)",Multiple individuals per species; displayed coverage is capped at 100%; 100 posterior available
