source_key,type,doi,url,citation
Mora 2011,paper,10.1371/journal.pbio.1001127,,Mora et al. 2011. How Many Species Are There on Earth and in the Ocean? PLoS Biol 9(8): e1001127.
Burgin 2018,paper,10.1093/jmammal/gyx147,,Burgin et al. 2018. How many species of mammals are there? J Mammal 99(1): 1-14.
Stork 2018,paper,10.1146/annurev-ento-020117-043348,,Stork 2018. How Many Species of Insects and Other Terrestrial Arthropods Are There on Earth? Annu Rev Entomol 63: 31-45.
Hawksworth 2017,paper,10.1128/microbiolspec.FUNK-0052-2016,,Hawksworth & Lücking 2017. Fungal Diversity Revisited: 2.2 to 3.8 Million Species. Microbiol Spectr 5(4).
Louca 2019,paper,10.1371/journal.pbio.3000106,,Louca et al. 2019. A census-based estimate of Earth's bacterial and archaeal diversity. PLoS Biol 17(2): e3000106.
Curtis 2002,paper,10.1073/pnas.142680199,,Curtis et al. 2002. Estimating prokaryotic diversity and its limits. PNAS 99(16): 10494-10499.
Appeltans 2012,paper,10.1016/j.cub.2012.09.036,,Appeltans et al. 2012. The Magnitude of Global Marine Species Diversity. Curr Biol 22(23): 2189-2202.
Nic Lughadha 2016,paper,10.11646/phytotaxa.272.1.5,,Nic Lughadha et al. 2016. Counting counts: revised estimates of numbers of accepted species of flowering plants. Phytotaxa 272(1): 82-88.
PPG I 2016,paper,10.1111/jse.12229,,PPG I 2016. A community-derived classification for extant lycophytes and ferns. J Syst Evol 54(6): 563-603.
PPG I,paper,10.1111/jse.12229,,PPG I 2016. A community-derived classification for extant lycophytes and ferns. J Syst Evol 54(6): 563-603.
Weigmann 2016,paper,10.1111/jfb.12874,,Weigmann 2016. Annotated checklist of the living sharks batoids and chimaeras (Chondrichthyes) of the world. J Fish Biol 88(3): 837-1037.
Mann 2013,paper,10.1111/jeu.12047,,Mann & Vanormelingen 2013. An Inordinate Fondness? The Number Distributions and Origins of Diatom Species. J Eukaryot Microbiol 60(4): 414-420.
Hodda 2022,paper,10.11646/zootaxa.5114.1.1,,Hodda 2022. Phylum Nematoda: a classification catalogue and index of valid genera. Zootaxa 5114(1): 1-289.
Adl 2007,paper,10.1080/10635150701494127,,Adl et al. 2007. Diversity Nomenclature and Taxonomy of Protists. Syst Biol 56(4): 684-689.
Carr 2008,paper,10.1073/pnas.0801667105,,Carr et al. 2008. Molecular phylogeny of choanoflagellates the sister group to Metazoa. PNAS 105(43): 16641-16646.
Segers 2007,paper,10.11646/zootaxa.1564.1.1,,Segers 2007. Annotated checklist of the rotifers (Phylum Rotifera). Zootaxa 1564: 1-104.
Zhang 2013,paper,10.11646/zootaxa.3703.1.3,,Zhang 2013. Animal biodiversity: An outline of higher-level classification and survey of taxonomic richness. Zootaxa 3703(1): 5-11.
Kajihara 2008,paper,10.12782/specdiv.13.245,,Kajihara et al. 2008. Checklist of Nemertean Genera and Species Published between 1995 and 2007. Species Divers 13(4): 245-274.
Guiry 2012,paper,10.1111/j.1529-8817.2012.01222.x,,Guiry 2012. How many species of algae are there? J Phycol 48(5): 1057-1063.
Guiry 2024,database,,https://www.algaebase.org/,"Guiry & Guiry (current), AlgaeBase. National University of Ireland, Galway."
Foissner 2008,paper,10.1007/s10531-007-9248-5,,Foissner 2008. Protist diversity and distribution: some basic considerations. Biodivers Conserv 17: 235-242.
Fernholm 2013,paper,10.1080/17451000.2013.838213,,Fernholm et al. 2013 (best-effort link to hagfish biology overview).
Potter 2015,paper,10.1016/B978-0-12-410403-6.00009-3,,Potter et al. 2015. Lampreys: a review of general biology and natural history. In Lampreys: Biology Conservation and Control vol. 1.
Bartels 2016,paper,10.1098/rspb.2015.2386,,"Bartels et al. 2016. Global biodiversity of tardigrades (best-effort link)."
Rein 2024,database,,https://www.ntnu.no/ub/scorpion-files/,"Rein, J.O. (current). The Scorpion Files. NTNU University Museum, Trondheim."
Gomez 2012,paper,,,Gómez 2012. A checklist and classification of living dinoflagellates (Dinoflagellata Alveolata). CICIMAR Oceánides 27(1): 65-140. (no DOI)
Hayward 2020,database,,https://www.marinespecies.org/foraminifera/,"Hayward et al. (current). World Foraminifera Database (via WoRMS)."
de Vargas 2007,paper,10.1007/978-3-540-69462-1_18,,de Vargas et al. 2007. Origin and Evolution of Coccolithophores (book chapter Coccolithophores - From Molecular Processes to Global Impact).
Agnarsson 2013,paper,10.1146/annurev-ento-120811-153639,,"Agnarsson, Coddington & Kuntner 2013. Systematics: Progress in the study of spider diversity and evolution (best-effort)."
Chapman 2009,database,,https://www.environment.gov.au/biodiversity/abrs/publications/other/species-numbers/2009/index.html,Chapman 2009. Numbers of Living Species in Australia and the World. Australian Biological Resources Study.
Farjon 2017,database,,https://www.kew.org/science/our-science/projects/conifer-database,Farjon 2017. A Handbook of the World's Conifers. Brill (book).
TTWG 2021,paper,10.3854/crm.8.000c.checklist.atlas.v9.2021,,Turtle Taxonomy Working Group 2021. Turtles of the World: Annotated Checklist and Atlas of Taxonomy. Chelonian Research Monographs 8.
Uetz 2025,database,,http://www.reptile-database.org/,Uetz P. et al. (current). The Reptile Database.
IUCN,database,,https://www.iucnredlist.org/,IUCN Red List of Threatened Species.
IUCN CSG,database,,https://www.iucncsg.org/,IUCN Crocodile Specialist Group.
CoL,database,,https://www.catalogueoflife.org/,Catalogue of Life.
CoL 2025,database,,https://www.catalogueoflife.org/,Catalogue of Life (2025 release).
WoRMS,database,,https://www.marinespecies.org/,World Register of Marine Species.
AlgaeBase,database,,https://www.algaebase.org/,"Guiry & Guiry (current), AlgaeBase."
Catalogue of Life 2025,database,,https://www.catalogueoflife.org/,Catalogue of Life (2025 release).
AmphibiaWeb,database,,https://amphibiaweb.org/,AmphibiaWeb. UC Berkeley.
AmphibiaWeb 2025,database,,https://amphibiaweb.org/,AmphibiaWeb (2025 access).
Chondrichthyan Tree of Life,database,,https://sharksrays.org/,Chondrichthyan Tree of Life Project.
Discover Life,database,,https://www.discoverlife.org/,Discover Life.
Eschmeyer's Catalog,database,,https://www.calacademy.org/scientists/projects/eschmeyers-catalog-of-fishes,"Fricke, Eschmeyer & Van der Laan (current). Eschmeyer's Catalog of Fishes. California Academy of Sciences."
GTDB R10,database,,https://gtdb.ecogenomic.org/,Genome Taxonomy Database (GTDB) release 10.
IUCN Red List 2025,database,,https://www.iucnredlist.org/,IUCN Red List of Threatened Species (2025 access).
Mammal Diversity Database,database,,https://www.mammaldiversity.org/,"Mammal Diversity Database, American Society of Mammalogists."
Reptile Database 2025,database,,http://www.reptile-database.org/,The Reptile Database (2025 access).
Species Fungorum 2025,database,,http://www.speciesfungorum.org/,Species Fungorum (Royal Botanic Gardens Kew).
World Flora Online 2025,database,,http://www.worldfloraonline.org/,World Flora Online (2025 access).
World Spider Catalog 2025,database,,https://wsc.nmbe.ch/,World Spider Catalog (2025 access). Natural History Museum Bern.
