filename,group,study,ntips,dated
mammals.nwk,mammals,Upham 2019,5912,TRUE
birds.nwk,birds,McTavish 2025,10824,TRUE
amphibians.nwk,amphibians,Jetz & Pyron 2018,7239,TRUE
fish.nwk,fish,Rabosky 2018,11638,TRUE
neotropical_fish.nwk,neotropical_fish,Tagliacollo 2024,3167,TRUE
squamates.nwk,squamates,Tonini 2016,9755,TRUE
turtles.nwk,turtles,Thomson 2021,593,TRUE
primates.nwk,primates,10kTrees v3,301,TRUE
parrots.nwk,parrots,Burgio 2019,413,TRUE
carnivora.nwk,carnivora,Nyakatura 2012,294,TRUE
insects.nwk,insects,insectphylo v2,53596,FALSE
butterflies.nwk,butterflies,Kawahara 2023,2258,TRUE
spiders.nwk,spiders,Garrison 2016,1456,TRUE
hemiptera.nwk,hemiptera,Johnson 2018,193,FALSE
termites.nwk,termites,2024 Nat Comms,138,FALSE
crustaceans.nwk,crustaceans,Wolfe 2019,95,FALSE
ants.nwk,ants,Romiguier 2022,83,FALSE
seed_plants.nwk,seed_plants,Smith & Brown 2018,356305,TRUE
ferns.nwk,ferns,Nitta 2022,6234,TRUE
bryophytes.nwk,bryophytes,Bechteler 2023,533,FALSE
grasses.nwk,grasses,GPWG III 2025,1153,FALSE
orchids.nwk,orchids,Givnish 2023,1475,TRUE
asteraceae.nwk,asteraceae,Mandel 2019,256,FALSE
solanaceae.nwk,solanaceae,Sarkinen 2013,1076,TRUE
cacti.nwk,cacti,CactEcoDB 2026,1063,TRUE
eucalyptus.nwk,eucalyptus,Crisp 2024,399,FALSE
conifers.nwk,conifers,Ran 2018,16,TRUE
corals.nwk,corals,2025 Nature,289,TRUE
cephalopods.nwk,cephalopods,2024 bioRxiv,81,TRUE
gastropods.nwk,gastropods,Zapata 2014,54,FALSE
sponges.nwk,sponges,Lavrov 2023,120,TRUE
echinoderms.nwk,echinoderms,Koch 2022,66,TRUE
nematodes.nwk,nematodes,2025 Syst Biol,166,FALSE
diatoms.nwk,diatoms,Theriot 2018,94,FALSE
bacteria.nwk,bacteria,GTDB R10,136646,FALSE
archaea.nwk,archaea,GTDB R10,6968,FALSE
fungi.nwk,fungi,Li 2021,1672,FALSE
eukaryotes.nwk,eukaryotes,Williamson 2025,100,FALSE
timetree.nwk,timetree,Hedges 2015,50645,FALSE
salamanders.nwk,salamanders,Stewart 2025,796,TRUE
bees.nwk,bees,Henriquez-Piskulich 2024,4586,TRUE
sharks.nwk,sharks,Stein 2018,1192,TRUE
bivalves.nwk,bivalves,Pfeiffer 2019,73,FALSE
cetaceans.nwk,cetaceans,McGowen 2020,85,TRUE
condamine_Alsodidae.nwk,condamine_Alsodidae,Condamine 2019,20,TRUE
condamine_Alytidae.nwk,condamine_Alytidae,Condamine 2019,10,TRUE
condamine_Bombinatoridae.nwk,condamine_Bombinatoridae,Condamine 2019,10,TRUE
condamine_Caecilidae.nwk,condamine_Caecilidae,Condamine 2019,31,TRUE
condamine_Eleutherodactylidae.nwk,condamine_Eleutherodactylidae,Condamine 2019,145,TRUE
condamine_Hynobiidae.nwk,condamine_Hynobiidae,Condamine 2019,46,TRUE
condamine_Pipidae.nwk,condamine_Pipidae,Condamine 2019,23,TRUE
condamine_Plethodontidae.nwk,condamine_Plethodontidae,Condamine 2019,278,TRUE
condamine_Ranidae.nwk,condamine_Ranidae,Condamine 2019,218,TRUE
condamine_Salamandridae.nwk,condamine_Salamandridae,Condamine 2019,42,TRUE
condamine_Acanthizidae.nwk,condamine_Acanthizidae,Condamine 2019,63,TRUE
condamine_Accipitridae.nwk,condamine_Accipitridae,Condamine 2019,242,TRUE
condamine_Acrocephalidae.nwk,condamine_Acrocephalidae,Condamine 2019,52,TRUE
condamine_Aegithalidae.nwk,condamine_Aegithalidae,Condamine 2019,10,TRUE
condamine_Alaudidae.nwk,condamine_Alaudidae,Condamine 2019,91,TRUE
condamine_Alcedinidae.nwk,condamine_Alcedinidae,Condamine 2019,91,TRUE
condamine_Alcidae.nwk,condamine_Alcidae,Condamine 2019,23,TRUE
condamine_Anatidae.nwk,condamine_Anatidae,Condamine 2019,157,TRUE
condamine_Apodidae.nwk,condamine_Apodidae,Condamine 2019,99,TRUE
condamine_Ardeidae.nwk,condamine_Ardeidae,Condamine 2019,61,TRUE
condamine_Artamidae.nwk,condamine_Artamidae,Condamine 2019,11,TRUE
condamine_Bernieridae.nwk,condamine_Bernieridae,Condamine 2019,11,TRUE
condamine_Bucconidae.nwk,condamine_Bucconidae,Condamine 2019,35,TRUE
condamine_Bucerotidae.nwk,condamine_Bucerotidae,Condamine 2019,55,TRUE
condamine_Cacatuidae.nwk,condamine_Cacatuidae,Condamine 2019,21,TRUE
condamine_Campephagidae.nwk,condamine_Campephagidae,Condamine 2019,80,TRUE
condamine_Capitonidae.nwk,condamine_Capitonidae,Condamine 2019,14,TRUE
condamine_Caprimulgidae.nwk,condamine_Caprimulgidae,Condamine 2019,88,TRUE
condamine_Cardinalidae.nwk,condamine_Cardinalidae,Condamine 2019,68,TRUE
condamine_Certhiidae.nwk,condamine_Certhiidae,Condamine 2019,10,TRUE
condamine_Cettiidae.nwk,condamine_Cettiidae,Condamine 2019,32,TRUE
condamine_Charadriidae.nwk,condamine_Charadriidae,Condamine 2019,64,TRUE
condamine_Chloropseidae.nwk,condamine_Chloropseidae,Condamine 2019,11,TRUE
condamine_Ciconiidae.nwk,condamine_Ciconiidae,Condamine 2019,19,TRUE
condamine_Cisticolidae.nwk,condamine_Cisticolidae,Condamine 2019,142,TRUE
condamine_Columbidae.nwk,condamine_Columbidae,Condamine 2019,306,TRUE
condamine_Conopophagidae.nwk,condamine_Conopophagidae,Condamine 2019,11,TRUE
condamine_Coraciidae.nwk,condamine_Coraciidae,Condamine 2019,12,TRUE
condamine_Corvidae.nwk,condamine_Corvidae,Condamine 2019,120,TRUE
condamine_Cotingidae.nwk,condamine_Cotingidae,Condamine 2019,65,TRUE
condamine_Cracidae.nwk,condamine_Cracidae,Condamine 2019,50,TRUE
condamine_Cracticidae.nwk,condamine_Cracticidae,Condamine 2019,12,TRUE
condamine_Cuculidae.nwk,condamine_Cuculidae,Condamine 2019,138,TRUE
condamine_Dicaeidae.nwk,condamine_Dicaeidae,Condamine 2019,45,TRUE
condamine_Dicruridae.nwk,condamine_Dicruridae,Condamine 2019,24,TRUE
condamine_Diomedeidae.nwk,condamine_Diomedeidae,Condamine 2019,21,TRUE
condamine_Emberizidae.nwk,condamine_Emberizidae,Condamine 2019,163,TRUE
condamine_Estrildidae.nwk,condamine_Estrildidae,Condamine 2019,140,TRUE
